order_line_id,order_id,order_date,customer_id,customer_segment,product_id,product_name,category,region,sales_channel,quantity,unit_price,unit_cost,discount_amount,revenue,cost,campaign,marketing_spend
LINE-0000081,ORD-000054,2024-01-13,CUST-0932,New,PROD-HOM-001,Linen Throw Set,Home,Central,Web,2,88.00,42.00,0.00,176.00,84.00,Organic Discovery,0.00
LINE-0000082,ORD-000054,2024-01-13,CUST-0932,New,PROD-WEL-003,Yoga Support Bundle,Wellness,Central,Web,1,92.00,42.00,0.00,92.00,42.00,Organic Discovery,0.00
LINE-0000083,ORD-000055,2024-01-13,CUST-0441,Occasional,PROD-HOM-001,Linen Throw Set,Home,Central,Web,2,88.00,42.00,17.60,158.40,84.00,Organic Discovery,0.00
LINE-0000084,ORD-000055,2024-01-13,CUST-0441,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,Central,Web,1,64.00,28.00,0.00,64.00,28.00,Organic Discovery,0.00
LINE-0000085,ORD-000056,2024-01-13,CUST-0408,Occasional,PROD-KIT-003,Acacia Cutting Board,Kitchen,South,Web,1,54.00,25.00,1.08,52.92,25.00,Paid Social,7.06
LINE-0000086,ORD-000057,2024-01-14,CUST-0524,Occasional,PROD-WOR-002,Felt Desk Organizer,Workspace,West,Web,2,48.00,20.00,3.84,92.16,40.00,Email Retention,2.24
LINE-0000087,ORD-000058,2024-01-14,CUST-0547,Occasional,PROD-WEL-002,Botanical Bath Set,Wellness,Central,Retail Pop-up,2,64.00,28.00,0.00,128.00,56.00,Community Referral,10.11
LINE-0000088,ORD-000058,2024-01-14,CUST-0547,Occasional,PROD-WEL-003,Yoga Support Bundle,Wellness,Central,Retail Pop-up,2,92.00,42.00,0.00,184.00,84.00,Community Referral,0.00
LINE-0000089,ORD-000059,2024-01-14,CUST-0209,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,East,Web,1,118.00,58.00,0.00,118.00,58.00,Organic Discovery,0.00
LINE-0000090,ORD-000060,2024-01-14,CUST-0078,Loyal,PROD-HOM-001,Linen Throw Set,Home,South,Marketplace,1,88.00,42.00,11.44,76.56,42.00,Sponsored Listings,54.23
LINE-0000091,ORD-000060,2024-01-14,CUST-0078,Loyal,PROD-WEL-003,Yoga Support Bundle,Wellness,South,Marketplace,1,92.00,42.00,2.76,89.24,42.00,Sponsored Listings,0.00
LINE-0000092,ORD-000060,2024-01-14,CUST-0078,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,South,Marketplace,1,118.00,58.00,3.54,114.46,58.00,Sponsored Listings,0.00
LINE-0000093,ORD-000061,2024-01-14,CUST-0220,Loyal,PROD-KIT-001,Essential Cookware Set,Kitchen,West,Marketplace,1,220.00,197.00,22.00,198.00,197.00,Sponsored Listings,35.99
LINE-0000094,ORD-000062,2024-01-15,CUST-0859,New,PROD-KIT-003,Acacia Cutting Board,Kitchen,East,Marketplace,1,54.00,25.00,1.62,52.38,25.00,Sponsored Listings,9.33
LINE-0000095,ORD-000063,2024-01-15,CUST-1053,New,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,7.92,80.08,42.00,Email Retention,2.14
LINE-0000096,ORD-000064,2024-01-15,CUST-0030,Loyal,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000097,ORD-000065,2024-01-15,CUST-0253,Occasional,PROD-HOM-001,Linen Throw Set,Home,Central,Web,1,88.00,42.00,3.52,84.48,42.00,Email Retention,4.71
LINE-0000098,ORD-000065,2024-01-15,CUST-0253,Occasional,PROD-WEL-001,Recovery Massage Kit,Wellness,Central,Web,1,118.00,58.00,4.72,113.28,58.00,Email Retention,0.00
LINE-0000099,ORD-000066,2024-01-15,CUST-0373,Occasional,PROD-OUT-002,Weatherproof Picnic Blanket,Outdoor,Central,Web,2,68.00,30.00,0.00,136.00,60.00,,0.00
LINE-0000100,ORD-000067,2024-01-16,CUST-0149,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,West,Web,1,118.00,58.00,4.72,113.28,58.00,Email Retention,3.96
LINE-0000101,ORD-000067,2024-01-16,CUST-0149,Loyal,PROD-KIT-002,Glass Meal Prep Set,Kitchen,West,Web,1,58.00,27.00,5.22,52.78,27.00,Email Retention,0.00
LINE-0000102,ORD-000068,2024-01-16,CUST-0137,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,East,Retail Pop-up,1,118.00,58.00,0.00,118.00,58.00,Community Referral,3.37
LINE-0000103,ORD-000069,2024-01-16,CUST-0320,Occasional,PROD-HOM-001,Linen Throw Set,Home,South,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000104,ORD-000070,2024-01-16,CUST-0434,Occasional,PROD-OUT-003,Enamel Camp Mug Set,Outdoor,West,Web,2,44.00,35.00,0.00,88.00,70.00,Organic Discovery,0.00
LINE-0000105,ORD-000071,2024-01-17,CUST-1018,New,PROD-HOM-002,Stoneware Serving Bowl,Home,West,Web,2,62.00,31.00,0.00,124.00,62.00,Organic Discovery,0.00
LINE-0000106,ORD-000071,2024-01-17,CUST-1018,New,PROD-WOR-002,Felt Desk Organizer,Workspace,West,Web,1,48.00,20.00,2.40,45.60,20.00,Organic Discovery,0.00
LINE-0000107,ORD-000072,2024-01-17,CUST-0420,Occasional,PROD-HOM-001,Linen Throw Set,Home,East,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,15.59
LINE-0000108,ORD-000073,2024-01-17,CUST-0173,Loyal,PROD-HOM-001,Linen Throw Set,Home,East,Marketplace,1,88.00,42.00,4.40,83.60,42.00,Marketplace Boost,112.93
LINE-0000109,ORD-000073,2024-01-17,CUST-0173,Loyal,PROD-HOM-003,Everyday Candle Trio,Home,East,Marketplace,1,36.00,14.00,1.80,34.20,14.00,Marketplace Boost,0.00
LINE-0000110,ORD-000073,2024-01-17,CUST-0173,Loyal,PROD-KIT-001,Essential Cookware Set,Kitchen,East,Marketplace,1,220.00,197.00,11.00,209.00,197.00,Marketplace Boost,0.00
LINE-0000111,ORD-000074,2024-01-17,CUST-0151,Loyal,PROD-HOM-001,Linen Throw Set,Home,East,Web,3,88.00,42.00,0.00,264.00,126.00,Organic Discovery,0.00
LINE-0000112,ORD-000074,2024-01-17,CUST-0151,Loyal,PROD-HOM-002,Stoneware Serving Bowl,Home,East,Web,1,62.00,31.00,0.00,62.00,31.00,Organic Discovery,0.00
LINE-0000113,ORD-000075,2024-01-18,CUST-0132,Loyal,PROD-WOR-003,Ergonomic Laptop Stand,Workspace,South,Web,2,82.00,38.00,0.00,164.00,76.00,Organic Discovery,0.00
LINE-0000114,ORD-000075,2024-01-18,CUST-0132,Loyal,PROD-HOM-001,Linen Throw Set,Home,South,Web,1,88.00,42.00,0.00,88.00,42.00,Organic Discovery,0.00
LINE-0000115,ORD-000076,2024-01-18,CUST-0394,Occasional,PROD-KIT-003,Acacia Cutting Board,Kitchen,West,Marketplace,1,54.00,25.00,8.10,45.90,25.00,Marketplace Boost,15.19
LINE-0000116,ORD-000077,2024-01-18,CUST-0306,Occasional,PROD-KIT-003,Acacia Cutting Board,Kitchen,South,Web,1,54.00,25.00,2.16,51.84,25.00,Email Retention,1.38
LINE-0000117,ORD-000078,2024-01-18,CUST-0205,Loyal,PROD-WEL-003,Yoga Support Bundle,Wellness,West,Marketplace,1,92.00,42.00,2.76,89.24,42.00,Sponsored Listings,15.75
LINE-0000118,ORD-000079,2024-01-19,CUST-0190,Loyal,PROD-WOR-001,Focus Desk Lamp,Workspace,East,Web,1,96.00,42.00,0.00,96.00,42.00,Organic Discovery,0.00
LINE-0000119,ORD-000080,2024-01-19,CUST-0018,Loyal,PROD-OUT-002,Weatherproof Picnic Blanket,Outdoor,West,Marketplace,1,68.00,30.00,2.04,65.96,30.00,Sponsored Listings,52.00
LINE-0000120,ORD-000080,2024-01-19,CUST-0018,Loyal,PROD-KIT-001,Essential Cookware Set,Kitchen,West,Marketplace,1,220.00,197.00,6.60,213.40,197.00,Sponsored Listings,0.00
LINE-0000121,ORD-000081,2024-01-19,CUST-0159,Loyal,PROD-HOM-001,Linen Throw Set,Home,East,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,15.77
LINE-0000122,ORD-000082,2024-01-19,CUST-0267,Occasional,PROD-WOR-003,Ergonomic Laptop Stand,Workspace,Central,Web,1,82.00,38.00,1.64,80.36,38.00,Paid Social,50.82
LINE-0000123,ORD-000082,2024-01-19,CUST-0267,Occasional,PROD-HOM-001,Linen Throw Set,Home,Central,Web,1,88.00,42.00,1.76,86.24,42.00,Paid Social,0.00
LINE-0000124,ORD-000082,2024-01-19,CUST-0267,Occasional,PROD-KIT-001,Essential Cookware Set,Kitchen,Central,Web,1,220.00,197.00,4.40,215.60,197.00,Paid Social,0.00
LINE-0000125,ORD-000083,2024-01-19,CUST-0056,Loyal,PROD-KIT-002,Glass Meal Prep Set,Kitchen,West,Web,2,58.00,27.00,4.64,111.36,54.00,Email Retention,5.21
LINE-0000126,ORD-000083,2024-01-19,CUST-0056,Loyal,PROD-HOM-001,Linen Throw Set,Home,West,Web,1,88.00,42.00,3.52,84.48,42.00,Email Retention,0.00
LINE-0000127,ORD-000084,2024-01-20,CUST-0320,Occasional,PROD-HOM-002,Stoneware Serving Bowl,Home,West,Web,1,62.00,31.00,0.00,62.00,31.00,Organic Discovery,0.00
LINE-0000128,ORD-000085,2024-01-20,CUST-0131,Loyal,PROD-KIT-001,Essential Cookware Set,Kitchen,West,Marketplace,2,220.00,197.00,22.00,418.00,394.00,Marketplace Boost,142.16
LINE-0000129,ORD-000086,2024-01-20,CUST-0757,New,PROD-HOM-001,Linen Throw Set,Home,East,Marketplace,1,88.00,42.00,2.64,85.36,42.00,Sponsored Listings,16.54
LINE-0000130,ORD-000087,2024-01-20,CUST-0449,,PROD-HOM-002,Stoneware Serving Bowl,Home,West,Web,2,62.00,31.00,0.00,124.00,62.00,Organic Discovery,0.00
LINE-0000131,ORD-000088,2024-01-20,CUST-0348,Occasional,PROD-WEL-003,Yoga Support Bundle,Wellness,East,Retail Pop-up,1,92.00,42.00,1.84,90.16,42.00,Local Event,6.70
LINE-0000132,ORD-000089,2024-01-21,CUST-1199,New,PROD-WEL-003,Yoga Support Bundle,Wellness,West,Web,1,92.00,42.00,0.00,92.00,42.00,Organic Discovery,0.00
LINE-0000133,ORD-000090,2024-01-21,CUST-0153,Loyal,PROD-WOR-001,Focus Desk Lamp,Workspace,Central,Retail Pop-up,1,96.00,42.00,6.72,89.28,42.00,Local Event,6.92
LINE-0000134,ORD-000091,2024-01-21,CUST-0815,New,PROD-KIT-001,Essential Cookware Set,Kitchen,West,Retail Pop-up,1,220.00,197.00,4.40,215.60,197.00,Local Event,16.38
LINE-0000135,ORD-000092,2024-01-21,CUST-1114,New,PROD-WEL-001,Recovery Massage Kit,Wellness,West,Web,2,118.00,58.00,9.44,226.56,116.00,Email Retention,5.34
LINE-0000136,ORD-000093,2024-01-21,CUST-0144,Loyal,PROD-OUT-002,Weatherproof Picnic Blanket,Outdoor,South,Web,2,68.00,30.00,9.52,126.48,60.00,Paid Social,31.35
LINE-0000137,ORD-000093,2024-01-21,CUST-0144,Loyal,PROD-HOM-001,Linen Throw Set,Home,South,Web,1,88.00,42.00,6.16,81.84,42.00,Paid Social,0.00
LINE-0000138,ORD-000094,2024-01-22,CUST-0127,Loyal,PROD-HOM-001,Linen Throw Set,Home,West,Retail Pop-up,1,88.00,42.00,1.76,86.24,42.00,Local Event,6.76
LINE-0000139,ORD-000095,2024-01-22,CUST-0106,Loyal,PROD-WEL-001,Recovery Massage Kit,Wellness,West,Marketplace,1,118.00,58.00,3.54,114.46,58.00,Sponsored Listings,20.69
LINE-0000140,ORD-000096,2024-01-22,CUST-1142,New,PROD-WEL-003,Yoga Support Bundle,Wellness,East,Web,1,92.00,42.00,0.00,92.00,42.00,Organic Discovery,0.00
